id;fecha;monto;tipo
4;2024-05-04;;invalid
7;;700.0;debito
15;2024-06-01;;desconocido
17;2024-12-18;-200.0;invalid
18;2024-11-30;-100.0;credito
23;;1000.0;credito
24;2024-02-18;0.0;credito
25;2024-11-09;;debito
28;2024-09-03;;desconocido
29;2024-05-27;;debito
30;2024-02-09;-200.0;invalid
34;2024-11-13;-200.0;credito
35;2024-12-12;-100.0;credito
40;;3000.0;credito
43;2024-12-06;-100.0;invalid
45;2024-08-23;;credito
50;;1200.0;debito
51;2024-07-02;-200.0;credito
53;2024-07-02;;debito
57;2024-07-27;-200.0;invalid
60;2024-04-04;-200.0;invalid
65;2024-10-16;;debito
70;2024-09-18;;desconocido
72;2024-03-01;-200.0;invalid
76;2024-11-16;-200.0;credito
77;;3000.0;invalid
78;2024-11-25;-200.0;credito
79;2024-06-02;;invalid
81;2024-06-18;;invalid
94;2024-08-01;-200.0;credito
99;2024-03-09;-200.0;credito
100;2024-06-15;;debito
102;2024-11-13;-200.0;debito
108;2024-02-28;-200.0;invalid
118;2024-08-27;;invalid
119;2024-12-06;;debito
120;2024-09-21;-200.0;credito
124;2024-08-22;;invalid
125;2024-01-29;-200.0;credito
132;2024-12-10;0.0;invalid
135;2024-03-02;;debito
136;2024-10-27;0.0;invalid
138;;1000.0;invalid
146;2024-07-01;;debito
150;;1500.0;debito
155;2024-12-22;-200.0;desconocido
167;2024-02-23;;credito
