id;fecha;monto;tipo
339;2024-06-06;;invalid
340;2024-03-05;-200.0;debito
341;2024-01-28;-200.0;invalid
342;2024-07-08;;debito
352;2024-02-02;-200.0;invalid
353;2024-04-18;;credito
354;2024-01-10;;debito
356;2024-12-17;-200.0;debito
357;;1000.0;credito
358;2024-10-10;;invalid
359;2024-08-04;;debito
361;2024-05-08;;invalid
377;2024-05-25;;credito
381;2024-06-25;;credito
386;2024-01-01;-200.0;desconocido
388;2024-09-14;;debito
389;2024-11-19;;credito
393;;800.0;credito
395;2024-07-09;-200.0;debito
396;2024-05-23;;debito
402;2024-07-16;;credito
404;2024-10-13;;credito
407;2024-09-21;-200.0;desconocido
408;2024-12-30;-200.0;debito
411;2024-12-12;-200.0;debito
414;2024-08-07;;debito
415;2024-06-29;;credito
416;2024-11-17;;desconocido
417;2024-06-19;;debito
418;2024-12-28;;credito
421;2024-09-09;-200.0;credito
422;2024-09-09;-200.0;credito
427;2024-12-27;;invalid
429;2024-09-27;;invalid
431;2024-05-04;-200.0;desconocido
435;2024-11-20;;credito
436;2024-08-21;-100.0;debito
437;2024-02-28;;credito
440;2024-07-28;;invalid
443;2024-05-11;;credito
445;;1200.0;debito
448;2024-06-08;;debito
449;2024-05-19;-200.0;credito
453;;800.0;invalid
454;2024-10-23;-200.0;debito
458;2024-10-02;-100.0;debito
460;2024-08-21;0.0;invalid
461;;700.0;invalid
462;;1500.0;invalid
463;2024-04-01;-100.0;debito
466;2024-11-30;;credito
468;2024-03-17;-200.0;debito
470;2024-09-19;;debito
472;;;invalid
474;;1200.0;invalid
475;2024-12-28;0.0;invalid
476;2024-07-06;;invalid
478;2024-07-06;0.0;credito
479;2024-12-07;;invalid
481;2024-09-15;-100.0;credito
488;2024-12-11;;debito
491;2024-03-31;;credito
492;2024-11-07;-200.0;invalid
493;2024-08-29;0.0;invalid
494;2024-11-26;-200.0;debito
496;2024-09-14;;invalid
497;2024-04-20;-200.0;desconocido
498;;1500.0;invalid
500;2024-04-24;;invalid
501;2024-03-24;;credito
502;2024-02-10;-100.0;credito
