id;fecha;monto;tipo
672;;-200.0;credito
673;2024-04-30;-200.0;credito
676;2024-08-07;;debito
679;2024-04-19;;credito
680;;1500.0;debito
681;;1000.0;credito
684;2024-11-04;;credito
686;2024-11-01;0.0;invalid
687;2024-12-12;;debito
690;2024-01-27;-200.0;debito
692;2024-09-15;;credito
693;2024-02-13;;credito
695;2024-10-20;-200.0;invalid
702;;;debito
711;2024-12-06;;invalid
712;2024-09-11;;debito
713;2024-07-12;;invalid
716;;-200.0;debito
721;2024-05-25;;debito
722;;1200.0;credito
723;2024-04-03;-200.0;debito
724;;1200.0;debito
729;2024-04-06;0.0;credito
731;2024-09-04;;credito
741;;1200.0;credito
745;2024-12-23;;invalid
750;2024-03-03;-200.0;debito
752;2024-05-02;;invalid
755;;1200.0;invalid
765;2024-06-26;;credito
769;2024-11-25;-200.0;invalid
771;2024-12-24;;debito
773;2024-03-19;;debito
775;2024-04-06;-200.0;invalid
779;2024-03-31;-200.0;debito
782;2024-11-18;;credito
784;2024-08-09;;credito
785;2024-05-07;;debito
786;2024-08-25;;invalid
788;2024-10-31;;debito
791;2024-06-28;-200.0;credito
792;2024-07-08;-200.0;invalid
794;2024-12-30;;credito
796;2024-01-16;-200.0;invalid
799;;3000.0;debito
800;2024-01-27;-100.0;invalid
801;2024-01-14;;invalid
804;2024-07-11;-200.0;invalid
805;2024-10-17;;debito
806;2024-01-14;-200.0;invalid
808;2024-01-04;-200.0;debito
809;2024-01-18;-200.0;invalid
810;2024-10-13;;credito
812;2024-05-20;;invalid
815;2024-11-19;;debito
816;2024-01-28;;invalid
818;2024-06-19;-100.0;debito
821;2024-04-07;;debito
823;2024-01-28;-200.0;debito
827;2024-02-06;-200.0;debito
829;;3000.0;debito
