id;fecha;monto;tipo
506;2024-06-10;-200.0;invalid
507;2024-04-05;0.0;invalid
511;2024-02-22;-200.0;invalid
514;2024-10-20;-200.0;invalid
516;2024-08-21;-200.0;desconocido
517;2024-04-17;;debito
518;2024-03-02;;invalid
519;2024-08-24;-200.0;invalid
525;;700.0;invalid
529;2024-11-08;-100.0;credito
537;2024-08-25;;credito
538;2024-08-22;-200.0;credito
542;2024-01-07;;debito
543;;1500.0;invalid
549;2024-11-05;;credito
551;2024-03-11;;credito
556;2024-06-16;-200.0;credito
557;2024-09-06;;debito
559;2024-12-26;-200.0;desconocido
560;;-200.0;credito
565;2024-11-11;;invalid
578;2024-12-05;-200.0;invalid
579;2024-05-01;;invalid
586;2024-01-31;-200.0;credito
594;2024-12-17;;debito
595;;1000.0;debito
598;2024-04-06;;credito
599;;700.0;debito
602;2024-06-29;-200.0;credito
603;;-200.0;credito
605;2024-07-30;;invalid
610;;;debito
611;2024-11-24;;debito
614;2024-01-05;;debito
617;2024-09-17;-200.0;invalid
618;2024-06-15;-100.0;credito
625;2024-05-15;;debito
626;2024-04-12;;invalid
628;2024-06-28;;invalid
629;2024-12-26;-200.0;invalid
635;;1500.0;credito
638;2024-11-20;-200.0;invalid
639;2024-09-26;-200.0;credito
643;2024-06-27;;invalid
644;2024-05-18;;invalid
645;2024-08-26;;invalid
649;2024-04-16;-200.0;debito
651;;;invalid
652;2024-04-28;-200.0;debito
655;2024-01-14;-200.0;credito
660;2024-07-17;-200.0;invalid
663;2024-02-25;;invalid
666;2024-04-25;;debito
668;2024-02-21;;credito
